std,diff,peakIndex,maxPeak,minPeak,cluster
8.815770041746684e-06,1.65441e-05,176260,2.8783e-05,-1.2696e-05,0
1.4542727186250554e-05,1.77325e-05,179294,2.8561e-05,-3.0082e-05,2
1.2269928248622646e-05,1.43903e-05,185734,3.2271e-05,-2.9054e-05,0
9.818263829383572e-06,1.59761e-05,190276,2.9514e-05,-1.4378e-05,0
1.906967738027103e-05,1.6432500000000002e-05,192084,4.7129e-05,-2.361e-05,2
9.639401170166194e-06,1.69402e-05,193472,2.8005e-05,-1.2153e-05,0
1.6465742455658042e-05,3.44702e-05,196685,4.0088e-05,-4.2099e-05,1
1.4695574782000135e-05,1.74825e-05,201060,2.9143e-05,-3.0814e-05,2
1.4280658150047737e-05,1.66635e-05,202270,2.809e-05,-2.7059e-05,0
8.223703171083671e-06,1.1946000000000002e-05,202731,2.7198e-05,-1.0407e-05,0
1.658002619472344e-05,1.32891e-05,202828,3.1359e-05,-2.7744e-05,0
1.014663781895459e-05,1.3945800000000001e-05,204907,3.1256e-05,-2.1127e-05,0
1.4231009160383652e-05,1.21173e-05,206943,3.2764e-05,-2.4619e-05,0
1.8838568408458944e-05,2.96234e-05,207774,4.5047e-05,-3.8963e-05,1
1.2780175352543586e-05,1.31945e-05,207915,2.7045e-05,-2.2572e-05,0
9.597966579508735e-06,1.51703e-05,208065,2.9031e-05,-1.5016e-05,0
9.177567124969637e-06,1.70498e-05,209798,2.785e-05,-1.8359e-05,0
1.0541457234001667e-05,1.83263e-05,211256,2.8342e-05,-2.0827e-05,0
1.7519496345208474e-05,2.5683300000000002e-05,214199,4.1532e-05,-2.8976e-05,2
1.5398701567443992e-05,1.55541e-05,219814,2.8332e-05,-2.909e-05,0
1.512610304794694e-05,2.7151899999999997e-05,220829,3.3148e-05,-4.4031e-05,1
1.8111948104316817e-05,2.9057900000000002e-05,224349,4.1816e-05,-3.8061e-05,1
8.909857051665408e-06,2.01834e-05,225888,2.9115e-05,-1.4008e-05,2
8.917442726417368e-06,1.24866e-05,230256,2.688e-05,-1.8214e-05,0
1.0008180491644976e-05,1.40419e-05,230318,2.7503e-05,-1.6361e-05,0
9.38237938338736e-06,1.62762e-05,234366,2.7311e-05,-2.1514e-05,0
1.1147932808881097e-05,1.71797e-05,240775,2.6914e-05,-1.8113e-05,0
2.007365017326488e-05,4.08208e-05,249984,4.5497e-05,-5.7484e-05,1
1.7150426725485565e-05,1.60364e-05,258561,3.6579e-05,-2.6244e-05,2
1.2263109625164636e-05,1.99268e-05,262899,2.9449e-05,-2.0309e-05,2
1.4710084747360928e-05,1.6784e-05,264957,2.7999e-05,-3.1618e-05,0
9.996429297777926e-06,1.27842e-05,277228,2.8998e-05,-1.4668e-05,0
1.7452202048940443e-05,3.25637e-05,278588,4.3988e-05,-3.7989e-05,1
1.5895357269097603e-05,2.3500300000000003e-05,279791,3.071e-05,-4.6197e-05,2
1.422733587320491e-05,1.4738e-05,285423,3.256e-05,-2.2776e-05,0
1.3698097829180815e-05,1.5615e-05,286746,2.8836e-05,-3.5173e-05,0
1.5561427112260573e-05,2.9917e-05,287153,3.0082e-05,-3.8012e-05,1
1.116134086844084e-05,1.4664799999999999e-05,289501,3.0125e-05,-2.1079e-05,0
1.0659158064323522e-05,1.37842e-05,290354,2.8723e-05,-1.2499e-05,0
1.556922102956878e-05,3.0949e-05,290720,3.1653e-05,-3.7233e-05,1
8.557134065863613e-06,1.6642400000000002e-05,291603,2.7046e-05,-1.7277e-05,0
1.5870602637721632e-05,3.031654e-05,294810,4.2884e-05,-4.1384e-05,1
9.847392256001493e-06,1.69771e-05,295923,3.0619e-05,-2.023e-05,0
1.609165027714606e-05,2.42421e-05,297366,3.3137e-05,-4.3599e-05,2
1.9518999604746733e-05,3.31161e-05,302452,4.5107e-05,-3.8504e-05,1
1.8533144391255253e-05,3.47828e-05,304250,5.043e-05,-4.0399e-05,1
9.306196817053038e-06,1.2312e-05,304792,2.8083e-05,-1.7893e-05,0
1.5877818397850415e-05,2.18494e-05,305830,3.7011e-05,-2.3629e-05,2
1.2995836742006153e-05,1.3406400000000001e-05,307399,3.2645e-05,-2.7596e-05,0
1.6484085226600462e-05,3.4713000000000005e-05,307733,3.8989e-05,-4.2856e-05,1
1.809701639058862e-05,4.1751499999999995e-05,310449,4.4807e-05,-5.51e-05,1
1.5955739454667422e-05,3.3053e-05,313676,3.4175e-05,-4.0406e-05,1
1.0464550387687794e-05,1.3671e-05,314251,2.7065e-05,-2.4267e-05,0
1.2928036556208466e-05,1.2144000000000001e-05,314985,3.3013e-05,-2.3231e-05,0
1.0236778748956927e-05,1.6530799999999998e-05,318283,2.9726e-05,-1.452e-05,0
8.616970934757817e-06,1.3284600000000002e-05,319321,2.8557e-05,-1.2133e-05,0
1.5409599544755284e-05,1.21714e-05,320059,2.7014e-05,-2.2795e-05,0
1.2175419591845182e-05,1.85797e-05,320428,3.3068e-05,-2.1238e-05,2
1.6621808507830973e-05,3.2993e-05,324818,3.5872e-05,-3.9224e-05,1
1.1463265343936277e-05,1.271884e-05,325323,2.8201e-05,-1.4103e-05,0
1.3715687588114416e-05,3.02918e-05,327216,3.8515e-05,-3.8646e-05,1
1.1133474268665327e-05,1.2579019999999999e-05,329190,2.7918e-05,-2.0313e-05,0
1.5438078263345583e-05,2.6531e-05,330061,4.0619e-05,-3.2277e-05,2
1.0464875954023433e-05,2.13833e-05,331012,2.8402e-05,-2.4848e-05,2
1.5653780565077232e-05,3.5391e-05,340205,3.9046e-05,-4.4471e-05,1
9.453702941957046e-06,2.0809699999999998e-05,340355,2.9415e-05,-1.5572e-05,2
9.45256051201821e-06,1.89051e-05,342442,3.1601e-05,-1.4418e-05,0
1.0241255306624131e-05,1.28631e-05,343544,2.7721e-05,-1.4611e-05,0
9.297451408067632e-06,1.3321e-05,344533,2.9905e-05,-1.3479e-05,0
1.7078467142781876e-05,2.34109e-05,345496,4.401e-05,-2.7622e-05,2
8.445767758083025e-06,1.6202e-05,347231,2.9161e-05,-1.1113e-05,0
1.558331307114756e-05,3.27326e-05,347290,2.8112e-05,-4.6648e-05,1
1.5579311677121847e-05,1.5585600000000002e-05,354973,2.7934e-05,-2.916e-05,0
1.9334726889555422e-05,2.0784399999999997e-05,360890,4.4084e-05,-2.4668e-05,2
1.0772301975660433e-05,1.32703e-05,361000,3.2882e-05,-2.2176e-05,0
1.1185123087650173e-05,1.6096707e-05,362054,2.7041e-05,-1.9563e-05,0
1.6018338818894563e-05,3.2291e-05,362090,3.5487e-05,-4.6235e-05,1
1.5740795518116244e-05,3.0625e-05,365393,3.2776e-05,-4.4634e-05,1
1.6998794396930628e-05,1.20912e-05,366671,3.2223e-05,-2.8748e-05,0
1.063675902004606e-05,1.576911e-05,369520,2.8855e-05,-2.1774e-05,0
1.5450108437432532e-05,2.02429e-05,371253,3.1451e-05,-2.402e-05,2
1.1492893192914699e-05,1.2295299999999999e-05,371752,2.8532e-05,-2.0924e-05,0
1.9105796864070187e-05,3.22268e-05,375176,4.1106e-05,-4.4449e-05,1
1.7693506399680545e-05,3.9696e-05,376075,4.3765e-05,-5.36e-05,1
1.726138315189107e-05,2.16383e-05,376537,3.6665e-05,-3.5004e-05,2
1.8693841443036344e-05,3.13423e-05,378665,3.9763e-05,-4.4738e-05,1
8.156307236125732e-06,1.549495e-05,378910,2.8583e-05,-9.6889e-06,0
1.3154968069943486e-05,1.4722200000000001e-05,379374,2.8307e-05,-2.9708e-05,0
1.0981719920949015e-05,1.17243e-05,379418,2.8691e-05,-2.9708e-05,0
1.6492469648929868e-05,2.6694e-05,381029,3.4011e-05,-3.0267e-05,2
1.2710216316494668e-05,1.75147e-05,381328,3.2658e-05,-3.3612e-05,0
1.4668665557664148e-05,2.9644e-05,382828,2.8187e-05,-3.8525e-05,1
1.8367801730118108e-05,3.3441999999999996e-05,384108,4.4268e-05,-4.9322e-05,1
1.629163695385326e-05,3.87302e-05,386923,4.9177e-05,-3.8407e-05,1
1.0140833407925936e-05,1.13366e-05,391572,2.8055e-05,-1.903e-05,0
9.103038214392367e-06,1.962166e-05,392553,3.1192e-05,-1.1536e-05,2
9.262985786832078e-06,1.9459010000000002e-05,401268,2.7892e-05,-1.5646e-05,2
1.0968794288540074e-05,1.51722e-05,406288,2.8313e-05,-2.518e-05,0
8.920485158548953e-06,1.5210199999999999e-05,408222,2.7182e-05,-1.7952e-05,0
1.7478882678264757e-05,3.1660000000000005e-05,416121,3.6406e-05,-3.603e-05,1
1.4307657472235546e-05,2.81992e-05,418463,3.9369e-05,-3.5592e-05,1
1.3037147732517055e-05,1.31246e-05,418510,2.9035e-05,-2.3879e-05,0
1.6590228677622084e-05,3.27379e-05,419258,2.9605e-05,-5.2431e-05,1
1.3926981390954301e-05,2.26049e-05,419806,3.3561e-05,-2.5172e-05,2
1.7417493135136783e-05,1.72547e-05,419925,3.2657e-05,-3.5871e-05,2
1.1411443069327377e-05,1.2213e-05,420103,3.1166e-05,-1.9337e-05,0
1.802478833365268e-05,3.5778369999999994e-05,421025,3.9008e-05,-4.9399e-05,1
1.53929724980091e-05,1.36044e-05,421057,2.8913e-05,-3.3054e-05,0
1.6796079920008708e-05,3.44481e-05,422569,4.2625e-05,-3.934e-05,1
1.944464208730302e-05,3.96639e-05,424362,4.2285e-05,-5.1375e-05,1
9.145803785731805e-06,1.4358e-05,426354,2.9105e-05,-9.306e-06,0
9.322237381591873e-06,1.29619e-05,426419,2.8251e-05,-1.3258e-05,0
1.2542098447634825e-05,1.7928200000000002e-05,428139,3.1643e-05,-2.4042e-05,2
1.0707170137999407e-05,1.63522e-05,428362,2.8573e-05,-1.5012e-05,0
1.994687215502523e-05,3.05382e-05,428534,3.1457e-05,-4.1242e-05,1
2.093659828536483e-05,2.39502e-05,428841,3.8846e-05,-3.4173e-05,2
1.1247247641745297e-05,2.54132e-05,428942,3.3333e-05,-2.6171e-05,2
1.4914534139891283e-05,1.55051e-05,429526,2.8562e-05,-2.834e-05,0
1.867812193725705e-05,3.7553e-05,431948,3.9098e-05,-4.8566e-05,1
1.0066343721443367e-05,1.84788e-05,435271,2.7721e-05,-1.665e-05,0
1.927346917748706e-05,3.2882e-05,435661,4.3365e-05,-4.46e-05,1
1.7496313512073026e-05,2.22258e-05,436593,3.2513e-05,-3.0116e-05,2
2.0551643517415943e-05,4.0237999999999997e-05,441924,5.9537e-05,-4.834e-05,1
1.2358772467235064e-05,1.0450000000000002e-05,443289,2.7729e-05,-2.6753e-05,0
1.547867398329875e-05,3.4793000000000004e-05,443786,3.8254e-05,-4.2474e-05,1
1.6589403621261644e-05,2.802493e-05,445474,3.3106e-05,-3.8757e-05,1
1.6242575949989515e-05,1.75264e-05,449623,3.0997e-05,-3.1717e-05,2
1.2250454620386073e-05,1.47794e-05,451933,2.7076e-05,-2.4843e-05,0
1.4450201196735584e-05,1.68656e-05,452825,3.0268e-05,-3.3925e-05,0
1.3102335931001059e-05,1.9701799999999998e-05,453749,2.8354e-05,-2.4153e-05,2
1.1142352526727756e-05,2.26553e-05,454238,3.0031e-05,-2.0213e-05,2
1.7670985284203616e-05,3.01582e-05,454906,3.8526e-05,-4.4363e-05,1
8.141524640287232e-06,1.9720500000000002e-05,455793,2.6855e-05,-1.8723e-05,0
1.0513377305374802e-05,1.1780599999999999e-05,460365,2.7759e-05,-1.766e-05,0
1.5288372488881902e-05,1.85035e-05,460796,3.3426e-05,-2.6324e-05,2
1.4313151194094664e-05,1.810549e-05,462165,2.7848e-05,-2.6572e-05,2
1.1609349717736124e-05,1.12467e-05,465183,2.9973e-05,-1.9313e-05,0
1.3320565661538602e-05,1.4988799999999998e-05,466893,3.0941e-05,-3.1218e-05,0
8.086784265055538e-06,1.21944e-05,472917,2.7267e-05,-9.9782e-06,0
1.0768839825560282e-05,1.3858e-05,473111,2.7166e-05,-1.7086e-05,0
6.957485115873295e-06,1.49022e-05,477007,2.6754e-05,-9.5873e-06,0
1.8336740097521888e-05,1.83138e-05,477348,3.4802e-05,-3.5018e-05,2
1.0810593071320137e-05,8.5694e-06,477392,2.7953e-05,-2.1416e-05,0
9.865009262542804e-06,1.7075600000000003e-05,479018,2.723e-05,-1.6534e-05,0
1.7464561491960895e-05,3.4355e-05,480607,3.139e-05,-4.7731e-05,1
1.7861415165846963e-05,3.4617000000000004e-05,482320,4.2029e-05,-4.9832e-05,1
1.0990618048376944e-05,1.1711999999999999e-05,484585,2.8306e-05,-1.9618e-05,0
1.2802570006837817e-05,2.17822e-05,485126,2.8322e-05,-2.5587e-05,2
1.4647983892217184e-05,1.56169e-05,487677,3.1673e-05,-2.5607e-05,0
1.9797559983917313e-05,3.5688e-05,487889,4.627e-05,-4.6812e-05,1
1.2878673738738455e-05,2.1633099999999998e-05,493273,3.0388e-05,-2.3129e-05,2
1.3964688095751856e-05,1.645e-05,493983,3.432e-05,-2.5272e-05,0
1.1530877545273372e-05,1.32407e-05,494900,2.6946e-05,-2.082e-05,0
1.2882978096710647e-05,1.75423e-05,496201,2.7827e-05,-2.6225e-05,0
1.0512908063817382e-05,1.4699999999999998e-05,497864,2.826e-05,-1.8531e-05,0
1.155713773048509e-05,1.70663e-05,499334,2.9992e-05,-2.1693e-05,0
1.2606368554697941e-05,1.62716e-05,500574,3.4062e-05,-2.7247e-05,0
1.1166983938702934e-05,2.1501799999999998e-05,507874,3.1173e-05,-2.2906e-05,2
1.6412941566118264e-05,2.9347e-05,508267,3.6722e-05,-3.5228e-05,1
1.0018421272940976e-05,1.2561599999999998e-05,514141,2.8199e-05,-2.0062e-05,0
7.910447041391729e-06,1.769144e-05,515532,2.8362e-05,-1.435e-05,0
1.108567273177063e-05,1.4191799999999999e-05,517416,3.3072e-05,-2.0709e-05,0
1.950227425642395e-05,2.35377e-05,519018,4.0028e-05,-3.8414e-05,2
9.317231740806477e-06,1.45056e-05,519062,2.8293e-05,-1.8899e-05,0
1.2571553901022936e-05,1.33262e-05,521318,2.6721e-05,-2.5243e-05,0
1.3940712992823367e-05,2.9794e-05,524131,2.7777e-05,-4.1001e-05,1
1.0443578114602883e-05,1.7949199999999997e-05,531000,2.7386e-05,-2.2443e-05,0
1.1185612015760918e-05,1.23415e-05,533052,2.7099e-05,-1.9674e-05,0
1.6800203978234966e-05,3.9302e-05,533950,4.7224e-05,-4.7591e-05,1
1.0789914218783086e-05,2.228823e-05,535636,3.4328e-05,-1.5752e-05,2
1.5451374604180786e-05,2.4495999999999997e-05,536080,3.3338e-05,-3.9099e-05,2
1.2777006678821514e-05,1.64927e-05,536679,2.6675e-05,-2.7582e-05,0
1.6151754854445672e-05,2.060703e-05,536739,3.2635e-05,-2.7099e-05,2
1.68761217163208e-05,1.77478e-05,541338,3.2102e-05,-3.148e-05,2
1.4935926432027538e-05,1.66742e-05,546072,2.7028e-05,-2.9356e-05,0
1.3193984456427677e-05,1.58759e-05,550665,2.8223e-05,-2.9645e-05,0
1.0958247428538257e-05,1.26366e-05,551489,2.6873e-05,-2.0469e-05,0
1.61176651080401e-05,1.59528e-05,555817,2.7414e-05,-3.1579e-05,0
1.0644789985992748e-05,9.3366e-06,560263,2.8722e-05,-1.7316e-05,0
1.0532716611450947e-05,1.89464e-05,560600,3.0797e-05,-2.4742e-05,2
1.0916181530713582e-05,2.65617e-05,567645,2.9505e-05,-3.1024e-05,2
1.1512466948284591e-05,1.70337e-05,570042,2.6728e-05,-2.7001e-05,0
1.479263798277994e-05,2.3021e-05,570712,3.6322e-05,-3.7806e-05,2
1.7049262130143877e-05,1.91932e-05,574365,3.1219e-05,-3.5379e-05,2
8.626241277904677e-06,1.9471299999999998e-05,574785,2.6754e-05,-2.1191e-05,0
1.0425028435724008e-05,2.41574e-05,575995,2.9431e-05,-2.2466e-05,2
1.0302855601428288e-05,1.2544300000000001e-05,576349,2.7575e-05,-1.3372e-05,0
1.3147502545647525e-05,2.26247e-05,578052,2.8166e-05,-2.322e-05,2
1.01957593396661e-05,1.52969e-05,579170,3.0784e-05,-1.6994e-05,0
1.1364707110468862e-05,1.33676e-05,580450,2.6977e-05,-2.4473e-05,0
1.7508986805272793e-05,3.2545e-05,580733,3.104e-05,-4.9358e-05,1
1.0675457393538804e-05,1.4618870000000001e-05,582311,2.6831e-05,-2.0918e-05,0
1.9150719658640658e-05,2.0135e-05,582825,4.0619e-05,-3.2532e-05,2
1.6063197265488045e-05,2.8476e-05,583606,3.2031e-05,-4.6105e-05,1
1.2629732759136069e-05,1.64686e-05,590524,2.8815e-05,-2.3766e-05,0
1.755880595134461e-05,3.7017699999999996e-05,591205,5.5551e-05,-3.0592e-05,1
1.3669162274491368e-05,1.8126341999999998e-05,591349,2.9495e-05,-2.8557e-05,2
1.1271270145524217e-05,2.2708e-05,591890,3.1794e-05,-2.4205e-05,2
1.6442407151173202e-05,2.99345e-05,592343,3.5231e-05,-4.1499e-05,1
1.5154253455479367e-05,1.80726e-05,592875,3.0165e-05,-2.4754e-05,2
1.0176277490914402e-05,1.7043e-05,598791,2.8361e-05,-2.1078e-05,0
1.2485670264030296e-05,1.1092192e-05,612408,2.8143e-05,-1.87e-05,0
1.510133246757747e-05,2.9060799999999998e-05,613870,3.4796e-05,-3.9203e-05,1
1.8304527668138326e-05,2.966e-05,617858,4.6381e-05,-2.9742e-05,1
9.19111789479165e-06,9.613000000000001e-06,619732,2.701e-05,-1.2205e-05,0
9.410332511800854e-06,1.77205e-05,620377,2.8839e-05,-1.4711e-05,0
1.6030915049209975e-05,3.71795e-05,620915,4.3461e-05,-4.7245e-05,1
1.5029061774399431e-05,1.89668e-05,624281,2.6835e-05,-2.9998e-05,2
1.5190974748938281e-05,9.015300000000002e-06,624313,2.8204e-05,-2.9379e-05,0
1.0343154152558517e-05,1.1598399999999999e-05,624391,2.6688e-05,-1.5879e-05,0
1.2853557643309242e-05,1.98334e-05,626285,3.0964e-05,-2.3153e-05,2
9.728480838130679e-06,1.8028400000000002e-05,626962,3.0917e-05,-1.3642e-05,0
9.508359436565314e-06,1.87136e-05,629611,2.7415e-05,-1.5577e-05,0
1.769517608517066e-05,1.66285e-05,631630,2.9463e-05,-3.3605e-05,2
1.1290563589033376e-05,1.1107e-05,631681,2.7501e-05,-1.6605e-05,0
1.4932914191546895e-05,2.03063e-05,634730,2.7507e-05,-3.6001e-05,2
9.407698727124066e-06,1.7552900000000003e-05,637301,2.9463e-05,-1.5677e-05,0
1.8029104227934595e-05,3.8548e-05,638899,3.9943e-05,-5.129e-05,1
8.835093879869537e-06,1.2229000000000001e-05,640040,3.0349e-05,-1.421e-05,0
1.0907764550953837e-05,1.6288900000000003e-05,640795,2.6772e-05,-1.6633e-05,0
1.2595035491216767e-05,1.84216e-05,641013,2.6756e-05,-3.2355e-05,2
9.045724698770395e-06,2.04772e-05,644093,2.6661e-05,-2.0514e-05,2
1.4857547151478176e-05,2.58228e-05,646468,3.22e-05,-3.6756e-05,2
8.808367010296666e-06,1.3043999999999999e-05,653136,2.855e-05,-1.2593e-05,0
