std,diff,peakIndex,maxPeak,minPeak,cluster
1.526903086382636e-05,2.75177e-05,745,3.7131e-05,-3.0818e-05,1
1.1051802414113036e-05,1.9476e-05,1226,3.0097e-05,-1.8535e-05,1
2.4579098238129714e-05,5.361e-05,1793,7.1877e-05,-6.2986e-05,0
1.3905290525822256e-05,1.59723e-05,2025,3.7991e-05,-1.9721e-05,1
1.4581117448360795e-05,1.82399e-05,3236,3.3443e-05,-3.3567e-05,1
1.3978657229189456e-05,2.9811899999999998e-05,3675,4.1214e-05,-2.9957e-05,1
2.910187451330763e-05,6.6095e-05,4180,9.274e-05,-6.536e-05,0
1.3615884731696217e-05,2.22296e-05,4536,4.0596e-05,-1.8603e-05,1
1.9813644287891598e-05,5.05074e-05,4761,5.4921e-05,-5.8804e-05,0
2.2851572205073825e-05,5.71431e-05,5312,6.7144e-05,-7.4945e-05,0
2.327053252086089e-05,5.3323e-05,5585,6.7603e-05,-5.4631e-05,0
1.8140673453335615e-05,1.9517899999999998e-05,5618,3.3189e-05,-3.5561e-05,1
1.2534584807614299e-05,1.30685e-05,6075,3.0286e-05,-2.0912e-05,1
2.700696158263284e-05,5.7282e-05,6166,6.4064e-05,-6.6687e-05,0
1.5275212228773738e-05,1.85828e-05,6262,3.1741e-05,-3.3496e-05,1
2.1492804215346654e-05,4.452e-05,6636,6.866e-05,-4.5299e-05,0
1.5060894233512222e-05,2.47431e-05,7043,3.9602e-05,-3.025e-05,1
2.7773411141423654e-05,5.2479000000000004e-05,8182,6.4164e-05,-6.1995e-05,0
1.2579391627387936e-05,2.3040799999999998e-05,8278,3.1145e-05,-2.9611e-05,1
2.287466265641673e-05,4.8759e-05,8709,7.2303e-05,-5.1854e-05,0
2.549269254700542e-05,5.5739e-05,9244,7.7066e-05,-4.9372e-05,0
1.4097568194930424e-05,1.60342e-05,9400,3.0502e-05,-2.0533e-05,1
2.6774387374088632e-05,5.6797e-05,10468,7.4268e-05,-6.2272e-05,0
2.150879594819829e-05,4.90517e-05,11369,4.9549e-05,-5.7337e-05,0
1.0257429285601192e-05,1.8191e-05,12623,3.0875e-05,-1.6204e-05,1
3.0286829538055158e-05,4.21216e-05,14094,6.1653e-05,-6.1318e-05,0
2.6054734613908914e-05,5.33734e-05,15654,7.5589e-05,-6.2992e-05,0
3.22504566218543e-05,2.8944999999999995e-05,16748,6.4592e-05,-8.671e-05,1
3.4174135156003056e-05,6.0806e-05,16774,7.4719e-05,-8.671e-05,0
2.1780976638947172e-05,2.3960999999999996e-05,16798,7.4719e-05,-3.0641e-05,1
1.1634401241050618e-05,2.53699e-05,17597,3.1336e-05,-2.3034e-05,1
2.6119526163714773e-05,6.3889e-05,17693,7.0914e-05,-7.3612e-05,0
2.5659546308684796e-05,5.9808e-05,18699,7.7428e-05,-5.9453e-05,0
1.4753593018506682e-05,1.904228e-05,18730,3.2868e-05,-3.1877e-05,1
2.829674576206629e-05,5.9268e-05,19756,8.7285e-05,-5.0523e-05,0
2.6518863965857524e-05,2.60742e-05,21497,5.5316e-05,-5.5445e-05,1
1.781070620982636e-05,1.3871500000000001e-05,21537,4.0633e-05,-3.2783e-05,1
2.6853030521433585e-05,6.0847e-05,22705,7.8261e-05,-6.2532e-05,0
1.1744047623841192e-05,1.53263e-05,22791,3.0684e-05,-2.2581e-05,1
1.1519367064900493e-05,1.65219e-05,22952,3.4521e-05,-1.4183e-05,1
2.6361854722344358e-05,5.13331e-05,24652,8.67e-05,-3.8459e-05,0
1.2415507057497775e-05,1.70689e-05,28120,3.1114e-05,-1.6819e-05,1
1.0729818883176225e-05,2.19052e-05,29648,3.0675e-05,-2.5239e-05,1
1.3460539713568852e-05,1.438e-05,31689,3.4745e-05,-2.3514e-05,1
